"district_name","condition","pre_mean","pre_std","pre_mean_pct","post_mean","post_std","post_mean_pct","p_value"
"Palnadu","ble",7.5,2,75.4,9.1,0.9,90.9,0
"Palnadu","fever",7.9,1.4,79,8.7,1,87.3,7.7e-05
"Palnadu","fgr",8.2,1.7,82.2,9.3,1,93,9e-06
"Palnadu","hrt",6.9,1.5,68.7,8.8,1,88.1,0
"Palnadu","plscs",8.1,1.6,80.7,9.2,0.8,92,1e-05
"Palnadu","tb",7,1.6,70.4,8.9,0.9,88.8,0
"Sri Sathya Sai","ble",7.5,2.4,74.9,8.6,1.9,85.5,0.00272
"Sri Sathya Sai","fever",7.5,1.6,74.9,8.4,1.3,83.6,0.000341
"Sri Sathya Sai","fgr",7.9,1.7,79.1,8.5,1.5,84.7,0.029861
"Sri Sathya Sai","hrt",7.4,1.5,73.7,8.6,1.4,85.6,0
"Sri Sathya Sai","plscs",8.5,1.8,84.7,9,1.6,89.5,0.067468
"Sri Sathya Sai","tb",7.3,1.6,73,8.5,1.1,84.7,0
"Srikakulam","ble",8.1,1.6,80.7,8.8,1.2,87.8,0.000833
"Srikakulam","fever",7.8,1.5,77.8,8.7,1.4,87.3,8e-06
"Srikakulam","fgr",8.5,1.3,84.6,9,1.5,89.8,0.011365
"Srikakulam","hrt",8,1.3,80.3,8.6,1.1,86.4,0.000741
"Srikakulam","plscs",8.8,1.3,88.4,9.4,0.9,94.2,0.000425
"Srikakulam","tb",7.9,1.4,79.5,8.9,1.1,88.6,1e-06
"Tirupati","ble",6.7,2.3,66.7,7.4,2.1,74.3,0.015899
"Tirupati","fever",6.9,1.7,69,7.4,1.7,73.7,0.052425
"Tirupati","fgr",7.5,1.9,75.1,8.1,1.9,80.8,0.03209
"Tirupati","hrt",7.1,1.7,70.7,7.6,1.8,76.3,0.025618
"Tirupati","plscs",8.2,1.7,81.5,8.8,1.6,87.9,0.006671
"Tirupati","tb",7.1,1.8,70.7,7.9,1.6,78.9,0.000839
"Vijayanagaram","ble",8,1.9,79.7,9.1,1.4,90.8,1.6e-05
"Vijayanagaram","fever",8.1,1,81.2,8.8,1,88.2,1.1e-05
"Vijayanagaram","fgr",8.6,1.3,86,9,1.2,89.9,0.041913
"Vijayanagaram","hrt",7.5,1.6,75,8.8,1.3,88,0
"Vijayanagaram","plscs",8.6,1.4,86,9.1,1,90.6,0.009546
"Vijayanagaram","tb",7.7,1.5,77.4,8.9,1,89.3,0
"Visakhapatnam","ble",6.9,2.6,68.6,8.2,1.8,82.5,0.000277
"Visakhapatnam","fever",7,1.9,69.7,8.2,1.7,81.7,0.000121
"Visakhapatnam","fgr",7.5,2.1,75.1,8.4,1.5,84.3,0.002962
"Visakhapatnam","hrt",6.6,2.3,65.7,8,1.7,79.7,4.8e-05
"Visakhapatnam","plscs",7.8,2,77.5,8.8,1.5,87.6,0.000727
"Visakhapatnam","tb",6.5,2.2,65.1,8.7,1.5,86.8,0
"West Godavari","ble",8.1,1.8,80.7,8.3,2,83.2,0.446048
"West Godavari","fever",7.5,1.7,74.6,7.6,2.2,76,0.682715
"West Godavari","fgr",8.3,1.4,83.5,8.5,1.9,85,0.692814
"West Godavari","hrt",7.4,1.7,73.6,8,1.8,79.5,0.067664
"West Godavari","plscs",8.8,1.5,87.9,8.8,1.6,87.7,0.95702
"West Godavari","tb",8,1.4,79.7,8.1,1.7,81,0.624705
"Overall Average","ble",7.5,2.2,74.7,8.4,1.9,84.4,NA
"Overall Average","fever",7.4,1.7,74.3,8.3,1.6,82.7,NA
"Overall Average","fgr",7.9,1.9,78.5,8.6,1.7,85.6,NA
"Overall Average","hrt",7.3,1.7,73,8.4,1.6,83.6,NA
"Overall Average","plscs",8.4,1.6,84.4,9,1.5,90.1,NA
"Overall Average","tb",7.4,1.7,73.9,8.5,1.4,85.1,NA
