"district_name","condition","pre_mean","pre_std","pre_mean_pct","post_mean","post_std","post_mean_pct","NA"
"Alluri Sitaram Raju","ane",6.6,1.9,66.4,7.3,1.9,72.5,NA
"Alluri Sitaram Raju","aph",5.3,2,53,6.7,2.1,66.6,NA
"Alluri Sitaram Raju","epi",5.4,2.2,54,6.3,2.4,62.9,NA
"Alluri Sitaram Raju","gdm",5.4,1.8,54.1,6.5,2.2,64.6,NA
"Alluri Sitaram Raju","htn",5.7,2,57.4,6.2,1.9,62.4,NA
"Alluri Sitaram Raju","qanc",7.2,1.6,71.8,7.5,1.7,75.4,NA
"Anakapalli","ane",8.1,1.5,80.9,8.9,1.3,88.8,NA
"Anakapalli","aph",7,2.3,69.9,8.6,1.9,85.8,NA
"Anakapalli","epi",7.3,1.3,73.1,8.3,1.8,83.2,NA
"Anakapalli","gdm",7.2,1.9,71.5,8.8,1.7,88,NA
"Anakapalli","htn",7.5,1.5,75.3,8.3,1.5,82.7,NA
"Anakapalli","qanc",8,1.6,79.6,8.1,1.3,81.5,NA
"Ananthapuram","ane",7.4,1.6,74.2,8.3,1.3,83.5,NA
"Ananthapuram","aph",5.6,1.9,56.2,7.4,1.8,73.6,NA
"Ananthapuram","epi",6.4,1.7,63.7,7.7,1.6,77.3,NA
"Ananthapuram","gdm",6.1,1.6,61.1,7.4,1.6,73.6,NA
"Ananthapuram","htn",6.8,1.6,68.1,7.1,1.6,71.5,NA
"Ananthapuram","qanc",8.1,1.3,80.9,8.4,1.2,83.9,NA
"Annamayya","ane",7.3,1.5,73.5,8.2,1.3,81.9,NA
"Annamayya","aph",6.1,1.8,61,7.6,1.8,76.1,NA
"Annamayya","epi",6.9,1.9,68.8,7.5,1.7,75,NA
"Annamayya","gdm",6.4,1.7,64.5,8,1.6,80.5,NA
"Annamayya","htn",6.7,1.4,66.9,7.3,1.5,73.3,NA
"Annamayya","qanc",8,1.2,80,8.4,1.1,84.2,NA
"Bapatla","ane",7.3,1.4,73.3,8.5,1.3,85.1,NA
"Bapatla","aph",5.5,2.1,55.4,6.9,2,69.1,NA
"Bapatla","epi",6.5,1.7,65.3,7.6,1.8,76.1,NA
"Bapatla","gdm",6,1.5,59.6,7.2,2,71.9,NA
"Bapatla","htn",6.3,1.7,62.8,7,1.7,70,NA
"Bapatla","qanc",7.9,1.4,79.3,8.4,1.3,83.5,NA
"Chittoor","ane",7.8,1.4,77.7,8.5,1.2,84.9,NA
"Chittoor","aph",6.4,1.9,64.2,7.8,1.6,78.4,NA
"Chittoor","epi",7,1.5,69.6,7.9,1.2,79,NA
"Chittoor","gdm",6.9,2,69.3,8.1,1.6,80.6,NA
"Chittoor","htn",7,1.7,69.7,7.2,1.7,71.9,NA
"Chittoor","qanc",8,1.1,79.7,8.3,1,82.8,NA
"East Godavari","ane",7.2,1.5,71.6,8.7,1.1,86.9,NA
"East Godavari","aph",5.5,1.6,54.8,7.6,1.8,76.1,NA
"East Godavari","epi",6.5,1.5,64.8,8.2,1.1,82.3,NA
"East Godavari","gdm",6,1.7,60,8.5,1.6,85,NA
"East Godavari","htn",6.8,1.5,67.5,7.8,1,77.8,NA
"East Godavari","qanc",7.8,1.5,78.4,8.9,1.1,88.8,NA
"Eluru","ane",7.2,1.7,71.7,7.9,1.5,78.9,NA
"Eluru","aph",5.8,1.8,57.8,7.2,2.1,71.8,NA
