"district_name","condition","pre_mean","pre_std","pre_mean_pct","post_mean","post_std","post_mean_pct","p_value"
"East Godavari","pt",8,2.1,80,9.8,0.8,97.7,0
"East Godavari","rfm",6.6,1.7,65.9,6.9,1,69.3,0.196305
"East Godavari","rh",7.8,2,77.7,9.7,1.2,96.7,0
"East Godavari","teen",7.1,2.2,71,9.3,1.5,93.2,0
"Eluru","hbsag",8.8,1.5,88,8.8,1.2,88,1
"Eluru","hiv",7.9,1.4,78.8,8.4,1,83.9,0.064486
"Eluru","pprom",7.1,1.6,70.7,8,1.5,80.5,0.005163
"Eluru","pt",8.6,2.4,85.6,9,2.1,89.6,0.532801
"Eluru","rfm",7,1,69.7,7.1,0.9,70.7,0.674539
"Eluru","rh",7.8,2.1,77.9,8.4,2.1,83.6,0.320101
"Eluru","teen",7.2,2.1,72.4,8.4,1.4,84.5,0.013178
"Kakinada","hbsag",8.3,1.8,83.4,8.9,1.1,89.1,0.008934
"Kakinada","hiv",7.3,1.9,73,8.3,1.3,82.9,5.4e-05
"Kakinada","pprom",7.2,1.7,72.3,7.7,1.5,77.3,0.037875
"Kakinada","pt",7.8,2.3,78,8.7,1.4,87.3,0.001518
"Kakinada","rfm",6.6,1.5,66.4,6.9,1.2,69.3,0.147569
"Kakinada","rh",8.1,2.2,80.8,8.8,1.5,87.9,0.009862
"Kakinada","teen",7.4,2.3,73.6,8.4,1.5,84.1,0.000275
"Konaseema","hbsag",8.4,1.7,84.4,9,1.7,90.3,0.005082
"Konaseema","hiv",6.8,1.6,67.9,7.5,1.5,75.2,0.000207
"Konaseema","pprom",6.7,1.6,67.2,7.5,2,75.4,0.000483
"Konaseema","pt",8,2.2,80.4,8.6,1.9,86.5,0.018589
"Konaseema","rfm",6.3,1.7,63.1,7,1.3,69.7,0.000683
"Konaseema","rh",8.3,1.8,83,8.7,1.9,87.2,0.073767
"Konaseema","teen",7.2,1.8,72.1,8.3,1.9,82.6,9e-06
"Krishna","hbsag",8.9,1.1,88.6,9.3,0.9,93.3,0.006576
"Krishna","hiv",7.9,1.9,78.8,8.1,2.1,80.9,0.633793
"Krishna","pprom",7.1,1.8,70.8,7.5,1.9,74.6,0.258537
"Krishna","pt",8.6,1.8,85.7,8.8,1.9,88.3,0.46056
"Krishna","rfm",7.1,0.9,70.8,7.1,0.7,71.1,0.887557
"Krishna","rh",8.7,1.7,87.1,8.9,1.5,88.9,0.556885
"Krishna","teen",7.6,1.7,76,8,1.4,80,0.240939
"Kurnool","hbsag",10,0,100,10,0,100,NA
"Kurnool","hiv",8,1.4,80,8,0,80,NA
"Kurnool","pprom",6,0,60,9,0,90,NA
"Kurnool","pt",8,0,80,8.5,0.7,85,NA
"Kurnool","rfm",8,0,80,8,0,80,NA
"Kurnool","rh",8.5,2.1,85,9.5,0.7,95,0.62483
"Kurnool","teen",8.5,0.7,85,8,1.4,80,0.711723
"Nandyal","hbsag",8.7,2.1,87.1,9.1,1.7,91.1,0.241146
"Nandyal","hiv",7.7,2,76.9,8.5,1.8,85.5,0.012367
"Nandyal","pprom",7.7,1.9,76.9,8.5,1.9,85,0.022244
"Nandyal","pt",8.2,2.1,82.1,8.9,1.9,89,0.057752
"Nandyal","rfm",6.7,1.7,67.1,7.4,1.2,73.5,0.014831
"Nandyal","rh",8.1,2.2,81.1,8.7,1.9,86.6,0.139545
"Nandyal","teen",7.8,2.2,77.6,8.6,2,86,0.029796
"Nellore","hbsag",9,0.9,89.7,9.4,0.7,93.7,0.010591
"Nellore","hiv",7.9,1.4,78.7,8.4,1.2,84.3,0.019267
"Nellore","pprom",7.4,1.6,74.1,7.7,1.6,76.8,0.356065
"Nellore","pt",8.8,1,88.2,9.2,0.9,92.4,0.020392
"Nellore","rfm",7,1.1,70,7,1,70.2,0.927775
"Nellore","rh",8.3,1.3,83.5,9,1.1,89.6,0.014157
"Nellore","teen",7.9,1.5,78.7,8.8,1.2,87.8,0.001842
"Palnadu","hbsag",9,1.2,90.3,9.6,0.7,96.2,0.001156
"Palnadu","hiv",7.7,1.6,76.9,9,1.4,89.9,2e-06
"Palnadu","pprom",7.2,1.9,72,8.3,1.3,82.8,0.000167
"Palnadu","pt",8.9,1.4,88.8,9.2,1,91.9,0.144974
"Palnadu","rfm",7,1.4,69.8,7.5,0.6,74.5,0.015289
"Palnadu","rh",8.6,1.4,86.5,9.4,0.8,94.4,0.00012
"Palnadu","teen",8.2,1.5,82.5,9.2,0.9,92.1,2.4e-05
"Sri Sathya Sai","hbsag",8.7,1.3,86.8,9.3,1.1,93.1,0.002362
"Sri Sathya Sai","hiv",7.2,1.8,72.1,8.5,1.4,84.9,8e-06
"Sri Sathya Sai","pprom",7.2,1.8,71.8,8,1.7,79.6,0.00586
"Sri Sathya Sai","pt",8.1,1.7,80.9,9,1.6,89.8,0.002374
"Sri Sathya Sai","rfm",6.9,1.1,69,7.2,0.8,71.8,0.082626
"Sri Sathya Sai","rh",8.1,1.7,81,9,1.7,89.7,0.002779
"Sri Sathya Sai","teen",7.7,1.7,77.1,8.5,1.4,85.4,0.001918
"Srikakulam","hbsag",9.2,1.1,92.4,9.8,0.6,97.7,0.000108
"Srikakulam","hiv",7.3,1.6,73.3,8.5,1.2,85.1,0
"Srikakulam","pprom",7.5,1.9,75.1,8.6,1.3,86.5,2e-06
"Srikakulam","pt",8.8,1.6,87.9,9.4,1.3,94.5,0.002209
"Srikakulam","rfm",7.1,1.3,71.1,7.6,1,75.6,0.006963
"Srikakulam","rh",8.8,1.4,87.9,9.4,0.8,94.5,9.9e-05
"Srikakulam","teen",8,1.6,80.4,8.7,1.2,87.3,0.000938
"Tirupati","hbsag",7.9,2.5,79,8.3,2.3,83.3,0.25318
"Tirupati","hiv",6.9,2.1,69.4,7.3,2.4,73.5,0.250188
"Tirupati","pprom",6.7,2.1,67.3,7.3,2.1,73.1,0.070256
"Tirupati","pt",6.9,3.1,69.4,7.4,2.7,74.4,0.265369
"Tirupati","rfm",6.1,2,61.2,6.3,2,63.1,0.536947
"Tirupati","rh",7.1,2.8,70.8,7.7,2.5,76.7,0.151241
"Tirupati","teen",6.5,2.6,65,7.1,2.4,71.2,0.10778
"Vijayanagaram","hbsag",9.3,0.9,92.7,9.6,0.7,96.2,0.004837
"Vijayanagaram","hiv",7.7,1.3,77.1,8.6,1.3,86.1,8e-06
"Vijayanagaram","pprom",7.7,1.7,77.4,8.5,1.5,85.1,0.001189
"Vijayanagaram","pt",9.2,1.3,92.5,9.5,0.7,95.4,0.069003
"Vijayanagaram","rfm",7.2,0.9,71.6,7.4,0.7,73.9,0.053332
"Vijayanagaram","rh",8.6,1.6,85.9,9.1,1.3,90.8,0.026381
"Vijayanagaram","teen",8.3,1.3,82.8,9,0.7,89.5,4.2e-05
"Visakhapatnam","hbsag",8.4,2.1,83.9,9.1,1.2,91.2,0.012039
"Visakhapatnam","hiv",6.9,1.7,69.1,7.8,1.5,77.6,0.001227
"Visakhapatnam","pprom",7.4,1.9,74.4,8.1,1.5,81.1,0.02135
"Visakhapatnam","pt",8,2.6,79.6,8.6,2,86.4,0.084068
"Visakhapatnam","rfm",6.4,1.7,64.2,6.9,1.4,68.6,0.09175
"Visakhapatnam","rh",7.6,2.6,76.1,8.9,1.6,89.3,0.000347
"Visakhapatnam","teen",7,2.3,70,8.1,1.9,80.6,0.002956
"West Godavari","hbsag",9.3,1.1,93,9.3,0.8,93.4,0.777666
"West Godavari","hiv",7.3,1.8,73.3,8,1.8,79.6,0.040972
"West Godavari","pprom",7.4,1.5,74.1,7.9,1.5,79.1,0.082975
"West Godavari","pt",8.6,1.7,85.8,8.6,1.7,86.1,0.918425
"West Godavari","rfm",6.9,1.3,69,6.8,1.6,68.2,0.816301
"West Godavari","rh",8.3,1.5,82.8,8.5,1.6,84.8,0.486951
"West Godavari","teen",8.3,1.5,82.9,8.5,1.5,84.6,0.530181
"Overall Average","hbsag",8.7,1.7,86.9,9.2,1.4,92.3,NA
"Overall Average","hiv",7.2,1.8,72.5,8.2,1.6,81.7,NA
"Overall Average","pprom",7.2,1.8,71.5,8,1.7,79.8,NA
"Overall Average","pt",8.2,2.2,82.2,8.9,1.8,88.6,NA
"Overall Average","rfm",6.7,1.6,66.7,7,1.3,70.4,NA
"Overall Average","rh",8.1,2,81.4,8.8,1.7,88.5,NA
"Overall Average","teen",7.5,2,75,8.4,1.7,84.2,NA
